Config,Algorithm,Problem,Run,Score
margin5,LMCMA,prob2,3,31.630163227865324
margin5,LMCMA,prob3,1,35.46406298878631
margin5,LMCMA,prob3,2,50.97049076167633
margin5,LMCMA,prob3,3,36.97165324712589
margin5,LMCMA,prob4,1,2172.6077077527934
margin5,LMCMA,prob4,2,2104.869617567181
margin5,LMCMA,prob4,3,4022.222827018177
margin5,AStarSeeds,prob1,1,36.324213768623586
margin5,AStarSeeds,prob1,2,36.34482536646979
margin5,AStarSeeds,prob1,3,36.670528543851056
margin5,AStarSeeds,prob2,1,31.420936129755212
margin5,AStarSeeds,prob2,2,31.420972128962315
margin5,AStarSeeds,prob2,3,31.420983286521743
margin5,AStarSeeds,prob3,1,28.220129718484447
margin5,AStarSeeds,prob3,2,28.89523065492793
margin5,AStarSeeds,prob3,3,28.225495589670437
margin5,AStarSeeds,prob4,1,4086.8611613518356
margin5,AStarSeeds,prob4,2,2698.753597996447
margin5,AStarSeeds,prob4,3,1959.3864312948413
margin5,NBIPOP,prob1,1,36.320268510095666
margin5,NBIPOP,prob1,2,36.32042463026951
margin5,NBIPOP,prob1,3,36.33877201825779
margin5,NBIPOP,prob2,1,31.42103108629725
margin5,NBIPOP,prob2,2,31.420969211042348
margin5,NBIPOP,prob2,3,31.42089202194115
margin5,NBIPOP,prob3,1,28.21701533390758
margin5,NBIPOP,prob3,2,28.234331803260314
margin5,NBIPOP,prob3,3,29.153116879709042
margin5,NBIPOP,prob4,1,3954.136175503586
margin5,NBIPOP,prob4,2,3927.568778788456
margin5,NBIPOP,prob4,3,2171.6985851247855
margin5,ALConstraint,prob1,1,36.33550346680512
margin5,ALConstraint,prob1,2,36.32982029181692
margin5,ALConstraint,prob1,3,36.355664638815284
margin5,ALConstraint,prob2,1,31.420884403758226
margin5,ALConstraint,prob2,2,31.420921768163733
margin5,ALConstraint,prob2,3,31.420897137099164
margin5,ALConstraint,prob3,1,28.77805763063077
margin5,ALConstraint,prob3,2,30.17276275892734
margin5,ALConstraint,prob3,3,29.021688003172446
margin5,ALConstraint,prob4,1,4108.55469527983
margin5,ALConstraint,prob4,2,3841.604913896683
margin5,ALConstraint,prob4,3,2053.1270344558634
margin5,RFSurrogate,prob1,1,36.323475878794774
margin5,RFSurrogate,prob1,2,36.33675339241196
margin5,RFSurrogate,prob1,3,43.60231479067788
margin5,RFSurrogate,prob2,1,31.42093694986613
margin5,RFSurrogate,prob2,2,31.420994218777164
margin5,RFSurrogate,prob2,3,31.42088490333696
