Strategy,Algorithm,Problem,Run,Score
CENTER_LINE,DE,prob1,1,36.43262978198551
CENTER_LINE,DE,prob1,2,36.39227304214379
CENTER_LINE,DE,prob1,3,37.37887680864414
CENTER_LINE,DE,prob2,1,31.466966589345095
CENTER_LINE,DE,prob2,2,31.441056367765032
CENTER_LINE,DE,prob2,3,31.471628653240753
CENTER_LINE,DE,prob3,1,29.70854195806784
CENTER_LINE,DE,prob3,2,29.431292136410157
CENTER_LINE,DE,prob3,3,30.03755917969228
CENTER_LINE,DE,prob4,1,5381.8303017977905
CENTER_LINE,DE,prob4,2,5144.157322981209
CENTER_LINE,DE,prob4,3,5149.152238004817
CENTER_LINE,GA,prob1,1,37.988603299082335
CENTER_LINE,GA,prob1,2,36.44705837577264
CENTER_LINE,GA,prob1,3,37.549838451087986
CENTER_LINE,GA,prob2,1,31.488783974228625
CENTER_LINE,GA,prob2,2,31.501872389340654
CENTER_LINE,GA,prob2,3,31.506451705889372
CENTER_LINE,GA,prob3,1,44.95763534644176
CENTER_LINE,GA,prob3,2,34.08016461645959
CENTER_LINE,GA,prob3,3,37.44706427661249
CENTER_LINE,GA,prob4,1,5879.849968631564
CENTER_LINE,GA,prob4,2,5144.243076963138
CENTER_LINE,GA,prob4,3,5144.208271384398
CENTER_LINE,MultiSegment,prob1,1,36.34714813124685
CENTER_LINE,MultiSegment,prob1,2,37.35690586188771
CENTER_LINE,MultiSegment,prob1,3,38.38958572710526
CENTER_LINE,MultiSegment,prob2,1,31.48094614474438
CENTER_LINE,MultiSegment,prob2,2,31.48109429681641
CENTER_LINE,MultiSegment,prob2,3,31.482381327987312
CENTER_LINE,MultiSegment,prob3,1,29.709607747347686
CENTER_LINE,MultiSegment,prob3,2,29.13487115596681
CENTER_LINE,MultiSegment,prob3,3,28.763198849176565
CENTER_LINE,MultiSegment,prob4,1,3108.8212454312034
CENTER_LINE,MultiSegment,prob4,2,3116.5914421762413
CENTER_LINE,MultiSegment,prob4,3,3082.481047974061
CENTER_LINE,SHADE,prob1,1,36.619170207858346
CENTER_LINE,SHADE,prob1,2,36.61845876858435
CENTER_LINE,SHADE,prob1,3,36.45755537062798
CENTER_LINE,SHADE,prob2,1,31.440202605775184
CENTER_LINE,SHADE,prob2,2,31.44020260577513
CENTER_LINE,SHADE,prob2,3,31.44020260577516
CENTER_LINE,SHADE,prob3,1,28.7913414912551
CENTER_LINE,SHADE,prob3,2,28.44685444996692
CENTER_LINE,SHADE,prob3,3,29.698048591010018
CENTER_LINE,SHADE,prob4,1,5144.1572354943755
CENTER_LINE,SHADE,prob4,2,5381.8148947704
CENTER_LINE,SHADE,prob4,3,5381.814894770406
CENTER_LINE,BipopAdaptif,prob1,1,37.44409717146383
CENTER_LINE,BipopAdaptif,prob1,2,37.366296696456835
CENTER_LINE,BipopAdaptif,prob1,3,36.341184078186785
CENTER_LINE,BipopAdaptif,prob2,1,31.481000555727604
CENTER_LINE,BipopAdaptif,prob2,2,31.480946384393995
CENTER_LINE,BipopAdaptif,prob2,3,31.480952727584068
CENTER_LINE,BipopAdaptif,prob3,1,29.53645326130448
CENTER_LINE,BipopAdaptif,prob3,2,28.226264538578416
CENTER_LINE,BipopAdaptif,prob3,3,29.50008160053472
CENTER_LINE,BipopAdaptif,prob4,1,3019.0243755619736
CENTER_LINE,BipopAdaptif,prob4,2,5735.657285807511
CENTER_LINE,BipopAdaptif,prob4,3,3160.1144416053426
CENTER_LINE,LMCMA,prob1,1,38.53302158428602
CENTER_LINE,LMCMA,prob1,2,37.6698867776741
CENTER_LINE,LMCMA,prob1,3,36.76946616090314
CENTER_LINE,LMCMA,prob2,1,31.563829436663593
CENTER_LINE,LMCMA,prob2,2,31.53759234270843
CENTER_LINE,LMCMA,prob2,3,31.603591856466526
