idx,x,y
713,17.3370661962,13.1055473462
714,17.3534974687,13.2057162267
715,17.3699070125,13.3060236014
716,17.3862972421,13.4064610602
717,17.4026705939,13.5070201267
718,17.4190295258,13.6076922586
719,17.4353765175,13.7084688475
720,17.4517140692,13.8093412185
721,17.4680447019,13.9103006309
722,17.4843709569,14.0113382775
723,17.5006953951,14.1124452849
724,17.5170205968,14.2136127136
725,17.5333491615,14.3148315578
726,17.5496837071,14.4160927452
727,17.5660268697,14.5173871375
728,17.5823813031,14.6187055300
729,17.5987496785,14.7200386519
730,17.6151346837,14.8213771660
731,17.6315390232,14.9227116689
732,17.6479654172,15.0240326909
733,17.6644166014,15.1253306965
734,17.6808953264,15.2265960836
735,17.6974043576,15.3278191842
736,17.7139464741,15.4289902642
737,17.7305244686,15.5300995236
738,17.7471411468,15.6311370961
739,17.7637993269,15.7320930498
740,17.7805018390,15.8329573868
741,17.7972515248,15.9337200432
742,17.8140512368,16.0343708898
743,17.8309038376,16.1348997314
744,17.8478121999,16.2352963074
745,17.8647792057,16.3355502914
746,17.8818077452,16.4356512921
747,17.8989007172,16.5355888524
748,17.9160610278,16.6353524503
749,17.9332915897,16.7349314987
750,17.9505953224,16.8343153452
751,17.9679751507,16.9334932728
752,17.9854340047,17.0324544998
753,18.0029748188,17.1311881796
754,18.0206005313,17.2296834015
755,18.0383140835,17.3279291901
756,18.0561184194,17.4259145059
757,18.0740164846,17.5236282455
758,18.0920112263,17.6210592415
759,18.1101055917,17.7181962628
760,18.1283025281,17.8150280147
761,18.1466049820,17.9115431392
762,18.1650158979,18.0077302152
763,18.1835382185,18.1035777583
764,18.2021748832,18.1990742217
765,18.2209288278,18.2942079957
766,18.2398029834,18.3889674084
767,18.2588002761,18.4833407256
768,18.2779236260,18.5773161512
769,18.2971759462,18.6708818274
770,18.3165601427,18.7640258351
771,18.3360791129,18.8567361936
772,18.3557357452,18.9490008615
773,18.3755329182,19.0408077367
774,18.3954734996,19.1321446564
775,18.4155603459,19.2229993980
776,18.4357963010,19.3133596786
777,18.4561841958,19.4032131559
778,18.4767268472,19.4925474284
779,18.4974270572,19.5813500355
780,18.5182876120,19.6696084576
781,18.5393112815,19.7573101173
782,18.5605008177,19.8444423787
783,18.5818589548,19.9309925483
784,18.6033884073,20.0169478754
785,18.6250918698,20.1022955521
786,18.6469720157,20.1870227138
787,18.6690314967,20.2711164398
788,18.6912729412,20.3545637533
789,18.7136989539,20.4373516221
790,18.7363121149,20.5194669589
791,18.7591149783,20.6008966214
792,18.7821100716,20.6816274133
793,18.8052998944,20.7616460842
794,18.8286869177,20.8409393302
795,18.8522735831,20.9194937946
796,18.8760623009,20.9972960677
797,18.9000554503,21.0743326880
798,18.9242553774,21.1505901423
799,18.9486643945,21.2260548659
800,18.9732847794,21.3007132438
801,18.9981187736,21.3745516104
802,19.0231685821,21.4475562506
803,19.0484363716,21.5197134000
804,19.0739242698,21.5910092456
805,19.0996343643,21.6614299259
806,19.1255687013,21.7309615323
807,19.1517292847,21.7995901087
808,19.1781180749,21.8673016528
809,19.2047369876,21.9340821160
810,19.2315878929,21.9999174046
811,19.2586726136,22.0647933801
812,19.2859929250,22.1286958598
813,19.3135505526,22.1916106175
814,19.3413471718,22.2535233839
815,19.3693844062,22.3144198475
816,19.3976638269,22.3742856553
817,19.4261869507,22.4331064131
818,19.4549552393,22.4908676863
819,19.4839700978,22.5475550009
820,19.5132328739,22.6031538437
821,19.5427448561,22.6576496635
822,19.5725072728,22.7110278712
823,19.6025212910,22.7632738411
824,19.6327880149,22.8143729113
825,19.6633084848,22.8643103846
826,19.6940836755,22.9130715292
827,19.7251144953,22.9606415795
828,19.7564017847,23.0070057367
829,19.7879463148,23.0521491699
830,19.8197487860,23.0960570168
831,19.8518098271,23.1387143842
832,19.8841299933,23.1801063494
833,19.9167097653,23.2202179605
834,19.9495495478,23.2590342377
835,19.9826496680,23.2965401740
